Striped Box coloring (coloringBox: 9x9x9),41-44,3d_27pt,64,64,64,6859000,SymGS,vanilla_version_L2 Norm: 480.371
19.9361
20.4116
20.395
20.3287
20.3925
20.4095
20.4031
20.403
20.4304
20.3073
