Striped Box coloring (coloringBox: 9x9x9),41-44,3d_27pt,8,8,8,10648,SymGS,vanilla_version_L2 Norm: 32.9401
12.5153
12.3382
12.3484
12.3493
12.3515
12.3105
12.335
12.3208
12.3177
12.3002
