Banded Warp Reduction (8 cooperating threads),41-44,3d_27pt,64,64,64,6859000,SPMV,vanilla_version
0.114912
0.10752
0.106496
0.106592
0.106496
0.10752
0.10752
0.10752
0.10752
0.10752
