Banded Warp Reduction (8 cooperating threads),41-44,3d_27pt,16,16,16,97336,SPMV,vanilla_version
0.025216
0.023552
0.022528
0.022528
0.022528
0.022528
0.02368
0.023584
0.023552
0.02368
