Banded Warp Reduction (8 cooperating threads),41-44,3d_27pt,32,32,32,830584,SPMV,vanilla_version
0.035328
0.027648
0.029696
0.029696
0.029664
0.029696
0.028672
0.028672
0.028672
0.027648
