Banded Warp Reduction (8 cooperating threads),41-44,3d_27pt,256,128,128,111777784,SPMV,vanilla_version
1.96726
1.3568
1.34963
1.34963
1.34957
1.34963
1.34861
1.34963
1.34758
1.34874
