Banded Warp Reduction (8 cooperating threads),41-44,3d_27pt,128,128,128,55742968,SPMV,vanilla_version
0.705792
0.685056
0.685056
0.685056
0.685024
0.684032
0.683104
0.684032
0.685056
0.685056
