Banded Warp Reduction (8 cooperating threads),41-44,3d_27pt,8,8,8,10648,SPMV,vanilla_version
0.027104
0.023552
0.022528
0.022528
0.022528
0.023552
0.022528
0.022528
0.022528
0.022528
