Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,256,256,128,224140792,SymGS,vanilla_version
26.4276
26.2011
26.2523
26.3348
26.5224
26.4767
26.4586
26.4511
26.4615
26.4
