Striped coloring (pre-computing COR Format),25,3d_27pt,64,64,64,6859000,MG,vanilla_version_RR Norm: 0.341176
42.2428
42.0772
42.1386
42.1612
42.1949
42.0895
42.1038
42.0895
42.0608
42.1478
