Striped coloring (pre-computing COR Format),25,3d_27pt,256,128,128,111777784,SymGS,vanilla_version_RR Norm: 0.511717
45.1676
45.1258
45.2027
45.1068
45.1546
45.1825
45.1229
45.1279
45.1553
45.1316
