Striped coloring (COR Format already stored on the GPU),25,3d_27pt,128,64,64,13790200,CG_noPreconditioning,vanilla_version_RR Norm: 0.375064
56.8042
56.7954
56.8611
56.8916
56.8613
56.8919
56.9226
56.9605
56.8767
56.9242
