Striped Box coloring,25,3d_27pt,8,8,8,10648,SymGS,vanilla_version_RR Norm: 0.126404
1.91315
1.91354
1.90675
1.89059
1.90282
1.90541
1.91802
1.90131
1.88874
1.89645
