Striped coloring (pre-computing COR Format),25,3d_27pt,128,64,64,13790200,CG,vanilla_version_RR Norm: 0.375064
3660
3661.02
3659.61
3661.44
3660.17
3660.26
3660.86
3660.93
3659.7
3661.37
