Striped coloring (COR Format already stored on the GPU),25,3d_27pt,128,64,64,13790200,CG,vanilla_version_RR Norm: 0.375064
3199.81
3198.9
3198.25
3198.6
3197.53
3199
3200.07
3199.47
3200.88
3200.12
