Striped coloring (COR Format already stored on the GPU),25,3d_27pt,128,64,64,13790200,MG,vanilla_version_RR Norm: 0.375064
44.8766
44.6034
44.6679
44.6945
44.7191
44.6167
44.6935
44.5911
44.7222
44.7058
