Striped coloring (COR Format already stored on the GPU),25,3d_27pt,16,16,16,97336,SymGS,vanilla_version_RR Norm: 0.186879
2.75354
2.74022
2.76992
2.74842
2.74022
2.73818
2.7392
2.74432
2.74534
2.75558
