Striped coloring (pre-computing COR Format),25,3d_27pt,128,64,64,13790200,CG_noPreconditioning,vanilla_version_RR Norm: 0.375064
56.8809
56.8328
56.9505
56.9595
56.8724
56.9224
56.9149
57.1974
56.9148
56.9105
