Striped coloring (COR Format already stored on the GPU),25,3d_27pt,128,128,64,27725560,SymGS,vanilla_version_RR Norm: 0.418618
16.4135
16.3525
16.3376
16.2249
16.2327
16.2661
16.3015
16.278
16.3544
16.3214
