Striped coloring (pre-computing COR Format),25,3d_27pt,32,32,32,830584,SymGS,vanilla_version_RR Norm: 0.238672
6.04931
6.06522
6.00422
6.024
6.02416
6.01562
6.00016
6.0008
6.02128
6.01242
