Striped coloring (pre-computing COR Format),25,3d_27pt,16,16,16,97336,CG_noPreconditioning,vanilla_version_RR Norm: 0.186879
4.10141
4.07667
4.12832
4.07018
4.09341
4.08131
4.07923
4.07661
4.08813
4.08771
