Striped coloring (pre-computing COR Format),25,3d_27pt,24,24,24,343000,SymGS,vanilla_version_RR Norm: 0.209858
4.42314
4.39283
4.41558
4.40979
4.40589
4.43875
4.40195
4.41392
4.4153
4.4159
