Striped coloring (storing nothing),25,3d_27pt,128,128,128,55742968,CG,vanilla_version_RR Norm: 0.473484
11975.3
11981.9
11979.7
11981.6
11982.9
11980.5
11984.5
11981.9
11983
11983.8
