Striped coloring (COR Format already stored on the GPU),25,3d_27pt,64,64,64,6859000,CG_noPreconditioning,vanilla_version_RR Norm: 0.341176
28.1548
28.1887
28.1716
28.17
28.1052
28.242
28.1392
28.2155
28.085
28.1882
