Striped coloring (storing nothing),25,3d_27pt,128,64,64,13790200,CG,vanilla_version_RR Norm: 0.375064
4174.2
4175.39
4175.52
4175.5
4175.4
4175.92
4174.46
4174.4
4173.27
4174.37
