Striped coloring (pre-computing COR Format),25,3d_27pt,24,24,24,343000,CG_noPreconditioning,vanilla_version_RR Norm: 0.209858
6.11936
6.12397
6.11098
6.10397
6.10275
6.10202
6.10893
6.1072
6.12515
6.11082
