Striped coloring (COR Format already stored on the GPU),25,3d_27pt,8,8,8,10648,CG_noPreconditioning,vanilla_version_RR Norm: 0.187864
1.89475
1.79386
1.76816
1.77773
1.89779
1.91114
1.88477
1.89571
1.89648
1.89792
