Striped Box coloring,25,3d_27pt,128,64,64,13790200,SymGS,vanilla_version_RR Norm: 0.364383
5.09046
5.07971
5.06986
5.06326
5.08205
5.05571
5.07123
5.0855
5.06
5.06115
