Striped coloring (storing nothing),25,3d_27pt,256,128,128,111777784,CG,vanilla_version_RR Norm: 0.511717
18653.2
18660.3
18659.9
18652.2
18662.8
18660.4
18655.3
18653.7
18657.8
18653.3
