Striped coloring (COR Format already stored on the GPU),25,3d_27pt,24,24,24,343000,CG,vanilla_version_RR Norm: 0.209858
324.506
317.635
317.788
317.262
317.628
317.589
323.06
323.173
325.057
325.124
