Striped coloring (storing nothing),25,3d_27pt,24,24,24,343000,MG,vanilla_version_RR Norm: 0.209858
14.43
14.2602
14.2715
14.2531
14.2746
14.2961
14.2817
14.2848
14.2899
14.3145
