Striped coloring (COR Format already stored on the GPU),25,3d_27pt,24,24,24,343000,SymGS,vanilla_version_RR Norm: 0.209858
4.24998
4.24221
4.2465
4.24486
4.24592
4.24291
4.21706
4.24154
4.23987
4.23107
