Striped coloring (pre-computing COR Format),25,3d_27pt,128,128,64,27725560,SymGS,vanilla_version_RR Norm: 0.418618
21.8883
21.7068
21.7404
21.7695
21.7461
21.7423
21.7239
21.78
21.7266
21.8022
