Striped coloring (pre-computing COR Format),25,3d_27pt,256,128,128,111777784,CG_noPreconditioning,vanilla_version_RR Norm: 0.511717
515.724
515.721
515.348
515.591
515.827
515.546
515.789
515.949
515.703
515.632
