Striped coloring (pre-computing COR Format),25,3d_27pt,128,128,128,55742968,SymGS,vanilla_version_RR Norm: 0.473484
31.0701
30.9163
31.2416
30.9718
30.9009
30.9027
30.8805
30.8905
30.9139
30.9558
