Striped coloring (storing nothing),25,3d_27pt,32,32,32,830584,CG_noPreconditioning,vanilla_version_RR Norm: 0.238672
10.6041
10.5697
10.5853
10.5746
10.5964
10.6031
10.5572
10.5814
10.5855
10.6239
