Striped coloring (COR Format already stored on the GPU),25,3d_27pt,256,128,128,111777784,CG_noPreconditioning,vanilla_version_RR Norm: 0.511717
515.186
515.414
515.496
515.452
515.44
515.364
515.366
515.623
515.355
515.392
