Striped Warp Reduction,25,3d_27pt,128,128,64,27725560,SymGS,vanilla_version_RR Norm: 0.418618
1785.75
1757.93
1757.76
1757.76
1757.73
1757.81
1757.97
1757.77
1757.71
1757.76
