Striped coloring (storing nothing),25,3d_27pt,128,128,128,55742968,SymGS,vanilla_version_RR Norm: 0.473484
33.0795
32.9244
32.9346
32.9293
32.8551
32.929
32.9345
32.8734
32.9366
32.9319
