Striped coloring (COR Format already stored on the GPU),25,3d_27pt,8,8,8,10648,SymGS,vanilla_version_RR Norm: 0.187864
1.24723
1.26464
1.2503
1.2585
1.24826
1.26054
1.26362
1.25133
1.25542
1.25747
