Striped coloring (storing nothing),25,3d_27pt,8,8,8,10648,SymGS,vanilla_version_RR Norm: 0.187864
1.20832
1.20422
1.20627
1.21651
1.20934
1.21549
1.20934
1.24006
1.21242
1.2032
