Striped coloring (COR Format already stored on the GPU),25,3d_27pt,128,128,128,55742968,SymGS,vanilla_version_RR Norm: 0.473484
23.5148
23.2922
23.299
23.3399
23.3344
23.3445
23.3306
23.3316
23.4672
23.3274
