Striped coloring (storing nothing),25,3d_27pt,256,128,128,111777784,SymGS,vanilla_version_RR Norm: 0.511717
39.9112
39.8997
39.9337
40.1851
39.9227
39.9324
39.9244
39.9215
40.0017
39.8536
