Striped coloring (storing nothing),25,3d_27pt,256,128,128,111777784,CG_noPreconditioning,vanilla_version_RR Norm: 0.511717
515.763
515.637
515.749
515.66
515.637
515.592
515.537
515.836
515.56
515.473
