Striped coloring (pre-computing COR Format),25,3d_27pt,128,128,128,55742968,CG,vanilla_version_RR Norm: 0.473484
10518.1
10517.2
10517.4
10516
10517.1
10517.1
10518.1
10518.4
10518.2
10518
