Striped coloring (COR Format already stored on the GPU),25,3d_27pt,32,32,32,830584,CG_noPreconditioning,vanilla_version_RR Norm: 0.238672
11.2537
11.3191
11.3107
11.313
11.2688
11.2578
11.3166
11.3104
11.2581
11.2743
