Striped coloring (storing nothing),25,3d_27pt,16,16,16,97336,CG_noPreconditioning,vanilla_version_RR Norm: 0.186879
4.1041
4.06451
4.10365
4.08928
4.08022
4.07901
4.06118
4.07693
4.08154
4.06381
