Striped Warp Reduction,25,3d_27pt,256,128,128,111777784,SymGS,vanilla_version_RR Norm: 0.511717
7258.47
7244.69
7244.68
7244.73
7244.81
7244.81
7244.75
7244.62
7244.83
7244.94
