Striped coloring (pre-computing COR Format),25,3d_27pt,32,32,32,830584,MG,vanilla_version_RR Norm: 0.238672
19.3742
19.4355
19.4673
19.3843
19.4212
19.4693
19.499
19.4509
19.4181
19.5082
