Striped coloring (storing nothing),25,3d_27pt,64,64,64,6859000,SymGS,vanilla_version_RR Norm: 0.341176
15.2262
14.9845
15.0342
15.0007
15.0318
14.9946
14.9905
15.0289
15.0098
15.0292
