Striped coloring (storing nothing),25,3d_27pt,128,128,64,27725560,SymGS,vanilla_version_RR Norm: 0.418618
22.929
22.8217
22.8439
22.806
22.8755
22.8055
22.8317
22.8039
22.8275
22.8252
