Striped coloring (storing nothing),25,3d_27pt,32,32,32,830584,MG,vanilla_version_RR Norm: 0.238672
22.8251
22.8035
22.7451
22.8035
22.7779
22.7871
22.8352
22.7625
22.7604
22.8035
