Striped coloring (COR Format already stored on the GPU),25,3d_27pt,32,32,32,830584,CG,vanilla_version_RR Norm: 0.238672
575.451
565.386
565.323
565.272
565.427
565.079
564.865
565.343
565.326
565.662
