Striped coloring (COR Format already stored on the GPU),25,3d_27pt,32,32,32,830584,SymGS,vanilla_version_RR Norm: 0.238672
5.75526
5.75718
5.75133
5.76598
5.75088
5.74918
5.76176
5.75091
5.67504
5.68608
