Striped coloring (COR Format already stored on the GPU),25,3d_27pt,256,128,128,111777784,CG,vanilla_version_RR Norm: 0.511717
13916.2
13914.5
13917.2
13910.7
13913
13916.4
13920.9
13919.9
13923.5
13918.2
