Striped coloring (storing nothing),25,3d_27pt,64,64,64,6859000,CG_noPreconditioning,vanilla_version_RR Norm: 0.341176
28.1948
28.2106
28.311
28.1948
28.1803
28.2069
28.225
28.1964
28.1945
28.1593
