Striped coloring (COR Format already stored on the GPU),25,3d_27pt,16,16,16,97336,CG_noPreconditioning,vanilla_version_RR Norm: 0.186879
4.08858
4.0649
4.06272
4.05654
4.08512
4.06896
4.09053
4.08147
4.07232
4.0704
