Striped coloring (storing nothing),25,3d_27pt,16,16,16,97336,SymGS,vanilla_version_RR Norm: 0.186879
3.60243
3.61472
3.60858
3.61677
3.61472
3.59834
3.60858
3.61984
3.59936
3.61779
