Striped coloring (storing nothing),25,3d_27pt,128,128,64,27725560,CG_noPreconditioning,vanilla_version_RR Norm: 0.418618
96.1977
96.5327
96.2998
96.3328
96.3933
96.385
96.4486
96.4304
96.3755
96.2657
