Striped coloring (COR Format already stored on the GPU),25,3d_27pt,128,128,64,27725560,MG,vanilla_version_RR Norm: 0.418618
57.5124
57.6072
57.5027
57.5775
57.598
57.5672
57.7628
57.4761
57.471
57.4413
