Striped coloring (pre-computing COR Format),25,3d_27pt,128,128,64,27725560,MG,vanilla_version_RR Norm: 0.418618
71.1994
71.1813
71.0943
71.1588
71.0891
71.2253
71.0881
71.082
71.0789
71.1014
