Striped coloring (pre-computing COR Format),25,3d_27pt,128,64,64,13790200,MG,vanilla_version_RR Norm: 0.375064
51.3115
51.1939
51.2123
51.3772
51.1386
51.1693
51.2092
51.1754
51.1816
51.116
