Striped coloring (storing nothing),25,3d_27pt,128,64,64,13790200,MG,vanilla_version_RR Norm: 0.375064
58.5925
58.4366
58.3045
58.3219
58.2758
58.4059
58.2523
58.3619
58.4141
58.5943
