Striped coloring (pre-computing COR Format),25,3d_27pt,64,64,64,6859000,CG_noPreconditioning,vanilla_version_RR Norm: 0.341176
28.0717
28.2223
28.0866
28.1184
28.3032
28.0562
28.0783
28.0622
28.1105
28.148
